Hospital_ID,Hospital_Name,City,Trust_Score,Specialty
HOSP001,Metro Hospital,Mumbai,0.67,Emergency Care
HOSP002,Metro Hospital,Bengaluru,0.73,Multi-specialty
HOSP003,Prime Medical Center,Delhi,0.81,Trauma Center
HOSP004,Nova Clinic,Bhopal,0.74,ENT
HOSP005,City Medical Center,Mumbai,0.73,ENT
HOSP006,Prime Health Institute,Kolkata,0.59,Neurology
HOSP007,Life Health Institute,Jaipur,0.57,Psychiatry
HOSP008,Metro Clinic,Surat,0.79,Radiology
HOSP009,Life Medical Center,Bhopal,0.58,Emergency Care
HOSP010,Care Hospital,Pune,0.65,Neurology
HOSP011,Care Clinic,Kolkata,0.91,Pediatrics
HOSP012,Life Medical Center,Kochi,0.66,Orthopedics
HOSP013,Global Medical Center,Surat,0.75,ENT
HOSP014,Nova Medical Center,Delhi,0.69,Cardiology
HOSP015,City Health Institute,Surat,0.67,General Medicine
HOSP016,Green Health Institute,Surat,0.83,Gynecology
HOSP017,Unity Medical Center,Jaipur,0.61,Trauma Center
HOSP018,Care Clinic,Delhi,0.8,Pulmonology
HOSP019,Global Clinic,Mumbai,0.87,Neurology
HOSP020,Global Clinic,Kochi,0.58,Gynecology
HOSP021,Unity Health Institute,Coimbatore,0.92,Multi-specialty
HOSP022,Metro Health Institute,Hyderabad,0.83,Neurology
HOSP023,Apex Medical Center,Jaipur,0.55,ENT
HOSP024,Global Hospital,Kochi,0.82,Critical Care
HOSP025,Prime Medical Center,Bhopal,0.88,Trauma Center
HOSP026,Nova Hospital,Bengaluru,0.69,Multi-specialty
HOSP027,Life Health Institute,Bengaluru,0.57,Public Health
HOSP028,Metro Clinic,Bhopal,0.58,Trauma Center
HOSP029,Global Medical Center,Mumbai,0.75,Trauma Center
HOSP030,Care Clinic,Lucknow,0.95,General Medicine
HOSP031,Care Clinic,Surat,0.83,Psychiatry
HOSP032,Nova Clinic,Kolkata,0.66,Orthopedics
HOSP033,City Medical Center,Lucknow,0.64,Orthopedics
HOSP034,City Medical Center,Bengaluru,0.94,Gastroenterology
HOSP035,Nova Medical Center,Jaipur,0.84,General Medicine
HOSP036,Global Clinic,Delhi,0.89,Dermatology
HOSP037,Metro Hospital,Pune,0.74,Dermatology
HOSP038,Unity Hospital,Chennai,0.83,Neurology
HOSP039,Apex Health Institute,Delhi,0.92,Emergency Care
HOSP040,Prime Clinic,Ahmedabad,0.73,ENT
HOSP041,Prime Hospital,Bengaluru,0.9,Trauma Center
HOSP042,City Hospital,Mumbai,0.95,Emergency Care
HOSP043,Apex Clinic,Surat,0.64,Gynecology
HOSP044,City Medical Center,Hyderabad,0.55,Gynecology
HOSP045,Unity Health Institute,Coimbatore,0.85,Trauma Center
HOSP046,Unity Medical Center,Kochi,0.68,Cardiology
HOSP047,Nova Hospital,Kochi,0.68,Cardiology
HOSP048,Unity Medical Center,Indore,0.96,Orthopedics
HOSP049,Global Hospital,Pune,0.58,Emergency Care
HOSP050,Metro Medical Center,Bengaluru,0.81,Radiology
HOSP051,Apex Health Institute,Delhi,0.66,Gastroenterology
HOSP052,Care Clinic,Ahmedabad,0.84,Nephrology
HOSP053,Life Hospital,Bengaluru,0.75,Public Health
HOSP054,Metro Medical Center,Surat,0.66,Pulmonology
HOSP055,Metro Medical Center,Indore,0.67,Psychiatry
HOSP056,Nova Health Institute,Chennai,0.97,Critical Care
HOSP057,Nova Health Institute,Hyderabad,0.84,Oncology
HOSP058,Metro Hospital,Hyderabad,0.79,ENT
HOSP059,Green Medical Center,Jaipur,0.7,ENT
HOSP060,Unity Health Institute,Bengaluru,0.94,Cardiology
HOSP061,Apex Health Institute,Coimbatore,0.55,Oncology
HOSP062,Care Medical Center,Jaipur,0.74,Dermatology
HOSP063,City Hospital,Jaipur,0.96,Oncology
HOSP064,City Health Institute,Mumbai,0.79,Dermatology
HOSP065,City Health Institute,Surat,0.94,Cardiology
HOSP066,Life Medical Center,Kolkata,0.66,Neurology
HOSP067,Nova Clinic,Indore,0.87,Emergency Care
HOSP068,Global Medical Center,Lucknow,0.73,Pediatrics
HOSP069,Life Clinic,Hyderabad,0.84,Emergency Care
HOSP070,Global Hospital,Delhi,0.93,Urology
HOSP071,Prime Clinic,Delhi,0.68,Emergency Care
HOSP072,City Medical Center,Bhopal,0.69,Orthopedics
HOSP073,Care Health Institute,Kolkata,0.77,Trauma Center
HOSP074,City Hospital,Kochi,0.97,Pediatrics
HOSP075,Care Hospital,Lucknow,0.81,Pulmonology
HOSP076,Life Clinic,Pune,0.97,Neurology
HOSP077,Green Medical Center,Chennai,0.57,Dermatology
HOSP078,Nova Medical Center,Kochi,0.74,Gastroenterology
HOSP079,Life Hospital,Hyderabad,0.94,Critical Care
HOSP080,Apex Health Institute,Mumbai,0.85,Trauma Center
HOSP081,Prime Clinic,Kochi,0.95,Pediatrics
HOSP082,Green Health Institute,Hyderabad,0.79,Multi-specialty
HOSP083,Care Medical Center,Coimbatore,0.89,Radiology
HOSP084,Life Clinic,Jaipur,0.74,General Medicine
HOSP085,Unity Medical Center,Coimbatore,0.59,Critical Care
HOSP086,Green Health Institute,Coimbatore,0.9,Emergency Care
HOSP087,Care Medical Center,Chennai,0.64,Multi-specialty
HOSP088,Prime Clinic,Ahmedabad,0.92,Orthopedics
HOSP089,Apex Medical Center,Pune,0.85,Urology
HOSP090,Prime Medical Center,Bhopal,0.85,Neurology
HOSP091,Apex Medical Center,Ahmedabad,0.9,Critical Care
HOSP092,City Medical Center,Mumbai,0.91,Psychiatry
HOSP093,Unity Health Institute,Indore,0.93,Radiology
HOSP094,Nova Clinic,Surat,0.94,Psychiatry
HOSP095,Global Clinic,Indore,0.66,Emergency Care
HOSP096,Care Clinic,Bengaluru,0.65,Psychiatry
HOSP097,Care Medical Center,Bengaluru,0.69,Trauma Center
HOSP098,Global Medical Center,Lucknow,0.71,Oncology
HOSP099,Prime Hospital,Ahmedabad,0.73,Trauma Center
HOSP100,Apex Hospital,Surat,0.91,Gynecology
HOSP101,Green Hospital,Pune,0.93,Public Health
HOSP102,Unity Hospital,Indore,0.68,Gynecology
HOSP103,Apex Medical Center,Ahmedabad,0.64,Dermatology
HOSP104,City Clinic,Lucknow,0.84,Gynecology
HOSP105,Global Clinic,Jaipur,0.6,Radiology
HOSP106,City Clinic,Bengaluru,0.79,Multi-specialty
HOSP107,Apex Medical Center,Hyderabad,0.75,Cardiology
HOSP108,Apex Health Institute,Bhopal,0.75,Gastroenterology
HOSP109,Apex Health Institute,Hyderabad,0.96,Dermatology
HOSP110,Metro Clinic,Kolkata,0.87,Cardiology
HOSP111,Prime Hospital,Bhopal,0.96,Cardiology
HOSP112,City Medical Center,Mumbai,0.91,Radiology
HOSP113,Prime Medical Center,Delhi,0.84,Public Health
HOSP114,Unity Health Institute,Kochi,0.71,Radiology
HOSP115,Metro Medical Center,Surat,0.6,Multi-specialty
HOSP116,Care Clinic,Bengaluru,0.95,General Medicine
HOSP117,Green Medical Center,Indore,0.85,Nephrology
HOSP118,Green Hospital,Kolkata,0.97,Cardiology
HOSP119,Nova Clinic,Coimbatore,0.71,Critical Care
HOSP120,Life Hospital,Bengaluru,0.73,Urology
